Year;Authors;Title;Case_ID;Pesticide type;Biome;Organism group;Response;Response level;Number of studies;Number of observations;Response measure;Mean;Effect direction;Variance measure;Lower value;Upper value;Stat_Sign_Based_on_CI;Only_authorised
2021;"Battisti, L; Potrich, M; Sampaio, AR; Ghisi, ND; Costa-Maia, FM; Abati, R; Martinez, CBD; Sofia, SH";Is glyphosate toxic to bees? A meta-analytical review;1;Glyphosate;Terrestrial;Bees;Mortality;Population;4;12;Log Odds ratio;0.83;negative;95% CI;0.09;1.57;Y;Y
2023;"Beaumelle, L; Tison, L; Eisenhauer, N; Hines, J; Malladi, S; Pelosi, C; Thouvenot, L; Phillips, HRP";Pesticide effects on soil fauna communities-A meta-analysis;2;Insecticide;Terrestrial;Soil invertebrates;Population and Community;Community;3;5;Natural log response ratio;-0.11;negative;95% CI;-0.173;-0.0419;Y;Y
2023;"Beaumelle, L; Tison, L; Eisenhauer, N; Hines, J; Malladi, S; Pelosi, C; Thouvenot, L; Phillips, HRP";Pesticide effects on soil fauna communities-A meta-analysis;2;Herbicide;Terrestrial;Soil invertebrates;Population and Community;Community;7;21;Natural log response ratio;-0.01;negative;95% CI;-0.114;0.0935;N;Y
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Mortality;Population;NA;204;% negative effect;66;negative;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Mortality;Population;NA;204;% no effect;34;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Abundance;Population;NA;408;% negative effect;45;negative;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Abundance;Population;NA;408;% no effect;48;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Abundance;Population;NA;408;% positive effect;7;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Biomass;Population;NA;55;% negative effect;40;negative;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Biomass;Population;NA;55;% no effect;56;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Biomass;Population;NA;55;% positive effect;4;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Richness & diversity;Community;NA;34;% negative effect;47;negative;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Richness & diversity;Community;NA;34;% no effect;50;no effect;NA;NA;NA;NA;N
2021;"Gunstone, T; Cornelisse, T; Klein, K; Dubey, A; Donley, N";Pesticides and Soil Invertebrates: A Hazard Assessment;3;Multiple pesticides;Terrestrial;Soil invertebrates;Richness & diversity;Community;NA;34;% positive effect;3;no effect;NA;NA;NA;NA;N
2024;"Kita, CA; Leal, LC; Mello, MAR";Pesticides put our food security at risk by reducing bee survival almost five times;4;Multiple pesticides;Terrestrial;Bees;Abundance, richness & diversity;Community;9;33;Hedges d;-0.37;negative;95% CI;-0.72;-0.03;Y;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Pesticide (except nematicide and herbicide);Terrestrial;Nematodes;Total density;Community;3;42;Natural log response ratio;-0.36;negative;95% CI;-0.83;0.11;N;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Pesticide (except nematicide and herbicide);Terrestrial;Nematodes;Shannon;Community;3;42;Natural log response ratio;-0.07;negative;95% CI;-0.09;-0.05;Y;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Pesticide (except nematicide and herbicide);Terrestrial;Nematodes;Plant parasite index;Community;3;37;Natural log response ratio;0.01;positive;95% CI;0;0.01;N;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Pesticide (except nematicide and herbicide);Terrestrial;Nematodes;Enrichment index;Community;5;49;Natural log response ratio;0.01;positive;95% CI;-0.07;0.09;N;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Pesticide (except nematicide and herbicide);Terrestrial;Nematodes;Structure index;Community;4;41;Natural log response ratio;-0.08;negative;95% CI;-0.21;0.05;N;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Herbicide;Terrestrial;Nematodes;Total density;Community;3;11;Natural log response ratio;-0.08;negative;95% CI;-0.34;0.18;N;N
2021;"Puissant, J; Villenave, C; Chauvin, C; Plassard, C; Blanchart, E; Trap, J";Quantification of the global impact of agricultural practices on soil nematodes: A meta-analysis;5;Nematicide;Terrestrial;Nematodes;Plant feeders;Community;3;13;Natural log response ratio;-1.21;negative;95% CI;-1.68;-0.74;Y;N
2021;"Siviter, H; Bailes, EJ; Martin, CD; Oliver, TR; Koricheva, J; Leadbeater, E; Brown, MJF";Agrochemicals interact synergistically to increase bee mortality;6;Pesticide;Terrestrial;Bees;Mortality;Population;NA;37;Hedges d;-0.45;negative;95% CI;-0.13;-0.73;Y;N
2020;"Siviter, H; Muth, F";Do novel insecticides pose a threat to beneficial insects?;7;flupyradifurone;Terrestrial;Beneficial insects;Mortality, Fitness and Behaviour;Population;NA;22;Hedges d;-0.3;negative;95% CI;-0.44;-0.18;Y;Y
2020;"Siviter, H; Muth, F";Do novel insecticides pose a threat to beneficial insects?;7;sulfoxaflor;Terrestrial;Beneficial insects;Mortality, Fitness and Behaviour;Population;NA;44;Hedges d;-0.55;negative;95% CI;-0.71;-0.41;Y;Y
2015;"Staley, ZR; Harwood, VJ; Rohr, JR";A synthesis of the effects of pesticides on microbial persistence in aquatic ecosystems;8;Herbicide and fungicide;Both;Microorganisms;Mortality;Community;4;5;% negative effect;100;negative;95% CI;100;100;N;Y
2019;"Teder, T; Knapp, M";Sublethal effects enhance detrimental impact of insecticides on non-target organisms: A quantitative synthesis in parasitoids;9;Insecticide;Terrestrial;Parasitoids;Offspring production (%);Population;29;76;Raw data;-26.2;negative;SD;31.4;31.4;N;Y
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Terrestrial;Animals;Growth;Population;4;13;Natural log response ratio;-0.25;negative;95% CI;-0.79;0.3;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Terrestrial;Animals;Reproduction;Population;60;423;Natural log response ratio;-0.45;negative;95% CI;-0.63;-0.27;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Terrestrial;Plants;Growth;Population;4;29;Natural log response ratio;-0.14;negative;95% CI;-0.86;0.57;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Terrestrial;Plants;Reproduction;Population;8;24;Natural log response ratio;-0.05;negative;95% CI;-0.34;0.22;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Animals;Reproduction;Population;8;21;Natural log response ratio;0.12;positive;95% CI;-0.39;0.61;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Plants;Growth;Population;5;40;Natural log response ratio;-0.17;negative;95% CI;-0.8;0.45;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Plants;Reproduction;Population;3;7;Natural log response ratio;0.04;positive;95% CI;-0.77;0.86;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Terrestrial;Microorganisms;Reproduction;Population;3;5;Natural log response ratio;-0.12;negative;95% CI;-0.73;0.5;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Animals;Reproduction;Population;7;27;Natural log response ratio;-0.22;negative;95% CI;-0.68;0.2;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Plants;Growth;Population;9;108;Natural log response ratio;-0.16;negative;95% CI;-0.49;0.16;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Plants;Reproduction;Population;3;30;Natural log response ratio;-0.43;negative;95% CI;-1.07;0.19;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Terrestrial;Microorganisms;Reproduction;Population;8;60;Natural log response ratio;-0.32;negative;95% CI;-0.74;0.05;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Animals;Growth;Population;31;202;Natural log response ratio;0.06;positive;95% CI;-0.13;0;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Animals;Reproduction;Population;50;295;Natural log response ratio;-0.36;negative;95% CI;-0.43;-0.29;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Plants;Growth;Population;7;15;Natural log response ratio;-0.4;negative;95% CI;-0.59;-0.23;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Plants;Reproduction;Population;4;24;Natural log response ratio;-0.68;negative;95% CI;-0.89;-0.45;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Insecticide;Aquatic;Microorganisms;Growth;Population;4;13;Natural log response ratio;-0.09;negative;95% CI;-0.32;0.18;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Aquatic;Animals;Growth;Population;9;38;Natural log response ratio;-0.05;negative;95% CI;-0.14;0.05;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Fungicide;Aquatic;Animals;Reproduction;Population;9;32;Natural log response ratio;-0.22;negative;95% CI;-0.34;-0.08;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Animals;Growth;Population;23;110;Natural log response ratio;-0.03;negative;95% CI;-0.07;0;N;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Animals;Reproduction;Population;19;70;Natural log response ratio;-0.19;negative;95% CI;-0.27;-0.11;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Plants;Growth;Population;19;145;Natural log response ratio;-0.26;negative;95% CI;-0.35;-0.18;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Plants;Reproduction;Population;11;35;Natural log response ratio;-0.49;negative;95% CI;-0.62;-0.37;Y;N
2025;"Wan, NF; Fu, LW; Dainese, M; Kiær, LP; Hu, YQ; Xin, FF; Goulson, D; Woodcock, B; Vanbergen, AJ; Spurgeon, DJ; Shen, SY; Scherber, C";Pesticides have negative effects on non-target organisms;10;Herbicide;Aquatic;Microorganisms;Growth;Population;7;23;Natural log response ratio;-0.07;negative;95% CI;-0.25;0.1;Y;N
